dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_CALCE,CALCE_CX2_16,800,0.031160109821266265,0.17425893838657328,0.1765222643783675,0.031160109821266265,0.17425893838657328,0.1765222643783675
test_CALCE,CALCE_CX2_16,850,0.024920605075734317,0.15595753819600502,0.15786261456004813,0.024920605075734317,0.15595753819600502,0.15786261456004813
test_CALCE,CALCE_CX2_16,900,0.034387020189859306,0.18436566959126854,0.18543737538549046,0.034387020189859306,0.18436566959126854,0.18543737538549046
test_CALCE,CALCE_CX2_33,0,0.0003120387552913465,0.014694995322470681,0.017664618741748902,0.0003120387552913465,0.014694995322470681,0.017664618741748902
test_CALCE,CALCE_CX2_33,100,0.010985321505059709,0.10365310610501409,0.10481088447799546,0.010985321505059709,0.10365310610501409,0.10481088447799546
test_CALCE,CALCE_CX2_33,150,0.007467543572560129,0.08403910057061235,0.08641494993668705,0.007467543572560129,0.08403910057061235,0.08641494993668705
test_CALCE,CALCE_CX2_33,200,0.0024208981060385355,0.04230536580229399,0.04920262295892908,0.0024208981060385355,0.04230536580229399,0.04920262295892908
test_CALCE,CALCE_CX2_33,250,0.006459229785735712,0.07538543557310841,0.08036933361510291,0.006459229785735712,0.07538543557310841,0.08036933361510291
test_CALCE,CALCE_CX2_33,300,0.009662438013589871,0.09558640572301101,0.09829770095780405,0.009662438013589871,0.09558640572301101,0.09829770095780405
test_CALCE,CALCE_CX2_33,350,0.0003510638124242783,0.015746683255021095,0.018736696945413786,0.0003510638124242783,0.015746683255021095,0.018736696945413786
test_CALCE,CALCE_CX2_33,400,0.0006828267776859424,0.021068793415150604,0.026130954396767495,0.0006828267776859424,0.021068793415150604,0.026130954396767495
test_CALCE,CALCE_CX2_33,450,0.004737993187667804,0.06668038698118652,0.068833082072996,0.004737993187667804,0.06668038698118652,0.068833082072996
test_CALCE,CALCE_CX2_33,50,0.0058560721872459595,0.0750239551274129,0.07652497753835645,0.0058560721872459595,0.0750239551274129,0.07652497753835645
test_CALCE,CALCE_CX2_33,500,0.0005561150019384112,0.02035627434501718,0.023582090703294548,0.0005561150019384112,0.02035627434501718,0.023582090703294548
test_CALCE,CALCE_CX2_33,550,0.004964383025958511,0.06952226583856047,0.07045837796854616,0.004964383025958511,0.06952226583856047,0.07045837796854616
test_CALCE,CALCE_CX2_33,600,0.02915510145561345,0.17019204065837804,0.17074864993789393,0.02915510145561345,0.17019204065837804,0.17074864993789393
test_CALCE,CALCE_CX2_33,650,0.007255310733622553,0.0837594373256125,0.08517811182236053,0.007255310733622553,0.0837594373256125,0.08517811182236053
test_CALCE,CALCE_CX2_33,700,0.039906083837414646,0.19930443923338464,0.19976507161517162,0.039906083837414646,0.19930443923338464,0.19976507161517162
test_CALCE,CALCE_CX2_33,750,0.017588814378133828,0.1320530372223555,0.13262282751522766,0.017588814378133828,0.1320530372223555,0.13262282751522766
test_CALCE,CALCE_CX2_33,800,0.04312980074259399,0.2071286934230089,0.20767715508113546,0.04312980074259399,0.2071286934230089,0.20767715508113546
test_CALCE,CALCE_CX2_34,0,0.0018166617170116215,0.03532788432773063,0.04262231477772672,0.0018166617170116215,0.03532788432773063,0.04262231477772672
test_CALCE,CALCE_CX2_34,100,0.0011777023147771428,0.02773916112600178,0.03431766767682709,0.0011777023147771428,0.02773916112600178,0.03431766767682709
test_CALCE,CALCE_CX2_34,150,0.006280642831807226,0.0754819323975382,0.07925050682366155,0.006280642831807226,0.0754819323975382,0.07925050682366155
test_CALCE,CALCE_CX2_34,200,0.0020675503854563613,0.04166864751768754,0.045470324228625875,0.0020675503854563613,0.04166864751768754,0.045470324228625875
test_CALCE,CALCE_CX2_34,250,0.01239439665467103,0.1103040708660064,0.11133012465038845,0.01239439665467103,0.1103040708660064,0.11133012465038845
test_CALCE,CALCE_CX2_34,300,0.0013726188361348607,0.031655451250280096,0.03704887091578987,0.0013726188361348607,0.031655451250280096,0.03704887091578987
test_CALCE,CALCE_CX2_34,350,0.007347429827039608,0.08248494658615843,0.08571715013367866,0.007347429827039608,0.08248494658615843,0.08571715013367866
test_CALCE,CALCE_CX2_34,400,0.02533660366696665,0.15706375990677482,0.15917475825948865,0.02533660366696665,0.15706375990677482,0.15917475825948865
test_CALCE,CALCE_CX2_34,450,0.03414151965799303,0.18330882363505777,0.18477423970346363,0.03414151965799303,0.18330882363505777,0.18477423970346363
test_CALCE,CALCE_CX2_34,50,0.04278750589786537,0.20618618748831985,0.20685141019066167,0.04278750589786537,0.20618618748831985,0.20685141019066167
test_CALCE,CALCE_CX2_34,500,0.04077935814883913,0.20098609416314198,0.20193899610733715,0.04077935814883913,0.20098609416314198,0.20193899610733715
test_CALCE,CALCE_CX2_34,550,0.009872959346077482,0.09805640929825554,0.09936276639706386,0.009872959346077482,0.09805640929825554,0.09936276639706386
test_CALCE,CALCE_CX2_34,600,0.028224381650858124,0.16710667933046833,0.16800113586180934,0.028224381650858124,0.16710667933046833,0.16800113586180934
test_CALCE,CALCE_CX2_34,650,0.02073625470899046,0.1427185129771768,0.144000884403501,0.02073625470899046,0.1427185129771768,0.144000884403501
test_CALCE,CALCE_CX2_35,0,0.000991064998944449,0.02570521386808749,0.03148118484022558,0.000991064998944449,0.02570521386808749,0.03148118484022558
test_CALCE,CALCE_CX2_35,100,0.007220756220726391,0.08426019934441725,0.08497503292571525,0.007220756220726391,0.08426019934441725,0.08497503292571525
test_CALCE,CALCE_CX2_35,1000,0.05439643740769217,0.23283000233382414,0.23323043842451646,0.05439643740769217,0.23283000233382414,0.23323043842451646
test_CALCE,CALCE_CX2_35,150,0.00420817843232205,0.0639728575108245,0.06487047427236871,0.00420817843232205,0.0639728575108245,0.06487047427236871
test_CALCE,CALCE_CX2_35,200,0.006178683903661327,0.07757348193107255,0.07860460485023334,0.006178683903661327,0.07757348193107255,0.07860460485023334
test_CALCE,CALCE_CX2_35,250,0.0036540289103938715,0.05807897807845358,0.06044856417148278,0.0036540289103938715,0.05807897807845358,0.06044856417148278
test_CALCE,CALCE_CX2_35,300,0.009806828709026296,0.09779468996265844,0.09902943354895198,0.009806828709026296,0.09779468996265844,0.09902943354895198
test_CALCE,CALCE_CX2_35,350,0.0004161824263755121,0.017457996601079117,0.02040054965866146,0.0004161824263755121,0.017457996601079117,0.02040054965866146
test_CALCE,CALCE_CX2_35,400,0.0009245844635251088,0.025319142391707312,0.030406980506540088,0.0009245844635251088,0.025319142391707312,0.030406980506540088
