battery,window_start,mse_win,mae_win,rmse_win,mse_bat,mae_bat,rmse_bat
HUST_1-3,800,0.000028,0.004520,0.005332,0.001265,0.030077,0.035574
HUST_1-3,850,0.000024,0.004155,0.004949,0.001093,0.028654,0.033055
HUST_1-3,900,0.000023,0.003965,0.004776,0.000998,0.027745,0.031585
HUST_1-3,950,0.000027,0.004260,0.005199,0.000938,0.027081,0.030633
HUST_1-3,1000,0.000035,0.005068,0.005900,0.000917,0.026774,0.030279
HUST_1-3,1050,0.000037,0.005197,0.006070,0.000924,0.026692,0.030406
HUST_1-3,1100,0.000037,0.005002,0.006092,0.000951,0.026846,0.030845
HUST_1-3,1150,0.000030,0.004543,0.005458,0.001002,0.027341,0.031650
HUST_1-3,1200,0.000025,0.004177,0.004958,0.001044,0.027854,0.032315
HUST_1-3,1250,0.000019,0.003431,0.004361,0.001118,0.028826,0.033434
HUST_1-3,1300,0.000023,0.003578,0.004750,0.001190,0.029879,0.034497
HUST_1-3,1350,0.000024,0.004065,0.004900,0.001331,0.032114,0.036479
HUST_1-4,0,0.000126,0.009451,0.011207,0.007870,0.064156,0.088714
HUST_1-4,50,0.000058,0.006299,0.007634,0.007458,0.062389,0.086360
HUST_1-4,100,0.000034,0.004718,0.005807,0.006900,0.059901,0.083065
HUST_1-4,150,0.000022,0.004031,0.004718,0.006359,0.057463,0.079744
HUST_1-4,200,0.000021,0.003973,0.004557,0.005417,0.053071,0.073598
HUST_1-4,250,0.000022,0.003979,0.004687,0.004628,0.049162,0.068033
HUST_1-4,300,0.000021,0.003885,0.004624,0.003650,0.043910,0.060419
HUST_1-4,350,0.000023,0.003975,0.004788,0.002989,0.040026,0.054668
HUST_1-4,400,0.000021,0.003781,0.004550,0.002202,0.034940,0.046930
HUST_1-4,450,0.000029,0.004330,0.005373,0.001826,0.032264,0.042733
HUST_1-4,500,0.000034,0.005098,0.005848,0.001351,0.028645,0.036752
HUST_1-4,550,0.000033,0.004989,0.005774,0.001287,0.028186,0.035876
HUST_1-4,600,0.000020,0.003432,0.004512,0.001095,0.026605,0.033091
HUST_1-4,650,0.000012,0.002818,0.003448,0.001109,0.026962,0.033298
HUST_1-4,700,0.000012,0.002755,0.003463,0.001024,0.026317,0.032003
HUST_1-4,750,0.000011,0.002696,0.003391,0.000953,0.025219,0.030867
HUST_1-4,800,0.000019,0.003428,0.004333,0.000820,0.022982,0.028630
HUST_1-4,850,0.000037,0.005062,0.006083,0.000682,0.020301,0.026112
HUST_1-4,900,0.000040,0.005378,0.006327,0.000561,0.017791,0.023676
HUST_1-4,950,0.000031,0.004595,0.005553,0.000477,0.015998,0.021832
HUST_1-4,1000,0.000036,0.004815,0.005962,0.000417,0.014827,0.020430
HUST_1-5,0,0.000227,0.014265,0.015064,0.010293,0.078687,0.101454
HUST_1-5,50,0.000154,0.011487,0.012426,0.010100,0.077814,0.100499
HUST_1-5,100,0.000102,0.008952,0.010079,0.009879,0.076825,0.099392
HUST_1-5,150,0.000068,0.006878,0.008263,0.009633,0.075753,0.098146
HUST_1-5,200,0.000045,0.005524,0.006677,0.009365,0.074621,0.096772
HUST_1-5,250,0.000036,0.005285,0.005974,0.009050,0.073317,0.095129
HUST_1-5,300,0.000033,0.005081,0.005775,0.008700,0.071863,0.093276
HUST_1-5,350,0.000039,0.005151,0.006258,0.008307,0.070247,0.091141
HUST_1-5,400,0.000042,0.005426,0.006465,0.007856,0.068478,0.088635
HUST_1-5,450,0.000056,0.006404,0.007466,0.007364,0.066630,0.085816
HUST_1-5,500,0.000062,0.006279,0.007874,0.006834,0.064627,0.082666
HUST_1-5,550,0.000073,0.007278,0.008522,0.006309,0.062834,0.079432
HUST_1-5,600,0.000067,0.006694,0.008211,0.005820,0.061137,0.076288
HUST_1-5,650,0.000065,0.006960,0.008067,0.005353,0.059724,0.073163
HUST_1-5,700,0.000073,0.006925,0.008540,0.004995,0.058688,0.070672
HUST_1-5,750,0.000092,0.008412,0.009615,0.004709,0.058128,0.068621
HUST_1-5,800,0.000078,0.007394,0.008857,0.004524,0.057878,0.067262
HUST_1-5,850,0.000083,0.007542,0.009087,0.004459,0.058180,0.066779
HUST_1-5,900,0.000079,0.007646,0.008894,0.004501,0.058842,0.067092
HUST_1-5,950,0.000106,0.008667,0.010306,0.004664,0.060032,0.068295
HUST_1-5,1000,0.000076,0.007552,0.008693,0.004938,0.061648,0.070270
HUST_1-5,1050,0.000088,0.007571,0.009367,0.005334,0.063756,0.073033
HUST_1-5,1100,0.000117,0.009336,0.010826,0.005887,0.066661,0.076730
HUST_1-5,1150,0.000110,0.009495,0.010492,0.006487,0.069612,0.080540
HUST_1-5,1200,0.000090,0.007439,0.009501,0.007332,0.073448,0.085628
HUST_1-5,1250,0.000103,0.008885,0.010164,0.008388,0.078376,0.091585
HUST_1-5,1300,0.000109,0.009309,0.010418,0.009365,0.082779,0.096774
HUST_1-5,1350,0.000101,0.008156,0.010028,0.010641,0.088258,0.103156
HUST_1-5,1400,0.000120,0.009379,0.010951,0.012183,0.094871,0.110375
HUST_1-5,1450,0.000136,0.010252,0.011678,0.014286,0.103500,0.119524
HUST_1-5,1500,0.000141,0.010096,0.011877,0.016886,0.113644,0.129945
HUST_1-6,0,0.000096,0.007423,0.009819,0.000371,0.016733,0.019262
HUST_1-6,50,0.000033,0.004513,0.005756,0.000284,0.014484,0.016855
HUST_1-6,100,0.000013,0.002869,0.003602,0.000216,0.012464,0.014703
HUST_1-6,150,0.000006,0.001986,0.002396,0.000167,0.010703,0.012920
HUST_1-6,200,0.000006,0.001943,0.002438,0.000128,0.009014,0.011298
HUST_1-6,250,0.000007,0.002221,0.002699,0.000103,0.007776,0.010146
HUST_1-6,300,0.000006,0.002006,0.002399,0.000088,0.006927,0.009407
HUST_1-6,350,0.000006,0.001968,0.002463,0.000083,0.006558,0.009085
HUST_1-6,400,0.000006,0.001985,0.002514,0.000083,0.006540,0.009126
HUST_1-6,450,0.000007,0.002117,0.002591,0.000085,0.006580,0.009199
HUST_1-6,500,0.000008,0.002321,0.002778,0.000088,0.006718,0.009375
HUST_1-6,550,0.000009,0.002399,0.002918,0.000091,0.006869,0.009559
HUST_1-6,600,0.000008,0.002191,0.002756,0.000095,0.007043,0.009767
HUST_1-6,650,0.000009,0.002352,0.002982,0.000099,0.007205,0.009974
HUST_1-6,700,0.000015,0.003116,0.003911,0.000103,0.007268,0.010141
HUST_1-6,750,0.000014,0.002877,0.003759,0.000112,0.007479,0.010574
HUST_1-6,800,0.000013,0.002732,0.003670,0.000124,0.007854,0.011117
HUST_1-6,850,0.000007,0.002148,0.002681,0.000147,0.008745,0.012132
HUST_1-6,900,0.000012,0.002817,0.003416,0.000173,0.009667,0.013144
HUST_1-7,0,0.000054,0.005913,0.007326,0.007300,0.062014,0.085439
HUST_1-7,50,0.000025,0.003871,0.004951,0.007125,0.061009,0.084412
HUST_1-7,100,0.000013,0.002862,0.003635,0.006863,0.059557,0.082844
HUST_1-7,150,0.000008,0.002329,0.002839,0.006619,0.058234,0.081359
HUST_1-7,200,0.000007,0.002285,0.002654,0.006378,0.056951,0.079865
HUST_1-7,250,0.000008,0.002543,0.002908,0.006124,0.055622,0.078254
HUST_1-7,300,0.000009,0.002668,0.003041,0.005856,0.054248,0.076522
HUST_1-7,350,0.000009,0.002620,0.003056,0.005585,0.052906,0.074735
HUST_1-7,400,0.000010,0.002627,0.003189,0.005306,0.051585,0.072843
HUST_1-7,450,0.000014,0.003059,0.003687,0.005038,0.050424,0.070977
HUST_1-7,500,0.000016,0.003385,0.003947,0.004825,0.049630,0.069463
HUST_1-7,550,0.000017,0.003499,0.004126,0.004585,0.048901,0.067716
HUST_1-7,600,0.000019,0.003799,0.004402,0.004273,0.048063,0.065371
HUST_1-7,650,0.000024,0.004232,0.004892,0.003706,0.046214,0.060878
HUST_1-7,700,0.000030,0.004747,0.005506,0.003206,0.044614,0.056620
HUST_1-7,750,0.000037,0.005297,0.006058,0.002722,0.042946,0.052173
HUST_1-7,800,0.000042,0.005564,0.006452,0.002312,0.041263,0.048088
HUST_1-7,850,0.000046,0.005807,0.006774,0.002008,0.039733,0.044810
HUST_1-7,900,0.000047,0.005948,0.006858,0.001853,0.038523,0.043045
HUST_1-7,950,0.000041,0.005426,0.006409,0.001875,0.038035,0.043304
HUST_1-7,1000,0.000030,0.004666,0.005521,0.002022,0.038240,0.044965
HUST_1-7,1050,0.000029,0.004505,0.005372,0.002295,0.039496,0.047910
HUST_1-7,1100,0.000029,0.004493,0.005371,0.002619,0.041282,0.051176
HUST_1-7,1150,0.000021,0.003750,0.004529,0.003055,0.044049,0.055272
HUST_1-7,1200,0.000014,0.002954,0.003735,0.003578,0.047405,0.059814
HUST_1-7,1250,0.000015,0.003052,0.003843,0.004226,0.051388,0.065004
HUST_1-7,1300,0.000026,0.004351,0.005108,0.005048,0.056128,0.071050
HUST_1-7,1350,0.000028,0.004428,0.005290,0.006010,0.061313,0.077526
HUST_1-7,1400,0.000024,0.003632,0.004921,0.007208,0.067415,0.084903
HUST_1-7,1450,0.000031,0.004501,0.005563,0.008477,0.073700,0.092070
HUST_1-8,0,0.000148,0.011587,0.012159,0.009364,0.071151,0.096767
HUST_1-8,50,0.000101,0.009725,0.010072,0.009222,0.070443,0.096029
HUST_1-8,100,0.000075,0.008381,0.008675,0.009107,0.069879,0.095433
HUST_1-8,150,0.000058,0.007217,0.007583,0.008999,0.069350,0.094864
HUST_1-8,200,0.000042,0.006029,0.006485,0.008879,0.068768,0.094227
HUST_1-8,250,0.000031,0.004923,0.005539,0.008750,0.068153,0.093540
HUST_1-8,300,0.000021,0.003831,0.004576,0.008613,0.067509,0.092807
HUST_1-8,350,0.000014,0.003096,0.003738,0.008469,0.066842,0.092026
HUST_1-8,400,0.000010,0.002671,0.003181,0.008318,0.066154,0.091203
HUST_1-8,450,0.000009,0.002627,0.003035,0.008149,0.065402,0.090274
HUST_1-8,500,0.000010,0.002783,0.003234,0.007971,0.064623,0.089281
HUST_1-8,550,0.000013,0.003071,0.003662,0.007778,0.063799,0.088195
