dataset,battery_name,window_start,mse,mae,rmse
test_CALCE,CALCE_CX2_37,650,0.004169297808056471,0.061859251150050365,0.06457009995389872
test_CALCE,CALCE_CX2_38,0,0.00111905353961156,0.02832448513174436,0.03345225761606472
test_CALCE,CALCE_CX2_38,100,0.0014983826271726516,0.03617486395020135,0.03870894763711165
test_CALCE,CALCE_CX2_38,150,0.0010402662811366506,0.030057156406809123,0.03225315924272614
test_CALCE,CALCE_CX2_38,200,0.0003741420958958526,0.015393065059101119,0.01934275305885521
test_CALCE,CALCE_CX2_38,250,0.0011802542489461345,0.031953717920397084,0.03435482861179975
test_CALCE,CALCE_CX2_38,300,0.00028023852478538906,0.013627496777416046,0.01674032630462707
test_CALCE,CALCE_CX2_38,350,0.00023866420257877177,0.01315450892936163,0.015448760551538487
test_CALCE,CALCE_CX2_38,400,0.002375701250316883,0.04785253343099493,0.048741165869487395
test_CALCE,CALCE_CX2_38,450,0.0003394519486768306,0.015456971187145578,0.018424221792977598
test_CALCE,CALCE_CX2_38,50,0.0009193714985052919,0.026048500392701585,0.030321139465813152
test_CALCE,CALCE_CX2_38,500,0.0003500769342038279,0.013860527299194424,0.018710342973976397
test_CALCE,CALCE_CX2_38,550,0.0008411789924523375,0.022872278331103703,0.029003085912577258
test_CALCE,CALCE_CX2_38,600,0.0022566839507803978,0.04004633708121569,0.04750456768333333
test_CALCE,CALCE_CX2_38,650,0.004012171929625878,0.05778383451151283,0.06334170766269155
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,0,0.001086868717190038,0.028236345649671434,0.03296769202097772
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,100,0.005687182926670855,0.07387299543184354,0.07541341343998995
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,150,0.00954090413917563,0.09655262996722865,0.09767755186927869
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,200,0.005649897032243432,0.07351652285429487,0.07516579695741563
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,250,0.00847215465876664,0.09016190208381436,0.09204430812802408
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,300,0.011978271956001063,0.10693353307192817,0.10944529206869094
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,350,0.013750070624915997,0.11486352739634853,0.1172606951408527
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,50,0.002234611982200574,0.04470427258670515,0.04727168266732817
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,0,0.000294786930511612,0.01339897300072011,0.017169360224295254
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,100,0.0036858551918610865,0.055717892229439105,0.06071124436100026
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,150,0.00557315353609582,0.07118858908861098,0.07465355675448973
